movie_title,title_year,genres,gross
Cats & Dogs: The Revenge of Kitty Galore,2010,Action|Comedy|Family|Fantasy,43575716
Jumper,2008,Action|Adventure|Sci-Fi|Thriller,80170146
Hellboy II: The Golden Army,2008,Action|Adventure|Fantasy|Horror|Sci-Fi,75754670
Zodiac,2007,Crime|Drama|History|Mystery|Thriller,33048353
The 6th Day,2000,Action|Mystery|Sci-Fi|Thriller,34543701
Bruce Almighty,2003,Comedy|Drama,242589580
The Expendables,2010,Action|Adventure|Thriller,102981571
Mission: Impossible,1996,Action|Adventure|Thriller,180965237
The Hunger Games,2012,Adventure|Drama|Sci-Fi|Thriller,407999255
The Hangover Part II,2011,Comedy,254455986
Batman Returns,1992,Action,162831698
Over the Hedge,2006,Adventure|Animation|Comedy|Family,155019340
Lilo & Stitch,2002,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,145771527
Deep Impact,1998,Action|Drama|Romance|Sci-Fi|Thriller,140459099
RED 2,2013,Action|Comedy|Crime|Thriller,53215979
The Longest Yard,2005,Comedy|Crime|Sport,158115031
Alvin and the Chipmunks: Chipwrecked,2011,Adventure|Animation|Comedy|Family|Fantasy|Music,133103929
Grown Ups 2,2013,Comedy,133668525
Get Smart,2008,Action|Adventure|Comedy,130313314
Something's Gotta Give,2003,Comedy|Drama|Romance,124590960
Shutter Island,2010,Mystery|Thriller,127968405
Four Christmases,2008,Comedy|Drama|Romance,120136047
Robots,2005,Adventure|Animation|Comedy|Family|Sci-Fi,128200012
Face/Off,1997,Action|Crime|Sci-Fi|Thriller,112225777
Bedtime Stories,2008,Comedy|Family|Fantasy|Romance,109993847
Road to Perdition,2002,Crime|Drama|Thriller,104054514
Just Go with It,2011,Comedy|Romance,103028109
Con Air,1997,Action|Crime|Thriller,101087161
Eagle Eye,2008,Action|Mystery|Thriller,101111837
Cold Mountain,2003,Adventure|Drama|History|Romance|War,95632614
The Book of Eli,2010,Action|Adventure|Drama|Thriller,94822707
Flubber,1997,Comedy|Family|Sci-Fi,92969824
The Haunting,1999,Fantasy|Horror|Mystery|Thriller,91188905
Space Jam,1996,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,90443603
The Pink Panther,2006,Adventure|Comedy|Crime|Family|Mystery,82226474
The Day the Earth Stood Still,2008,Drama|Sci-Fi|Thriller,79363785
Conspiracy Theory,1997,Action|Crime|Mystery|Romance|Thriller,76081498
Fury,2014,Action|Drama|War,85707116
Six Days Seven Nights,1998,Action|Adventure|Comedy|Romance,74329966
Yogi Bear,2010,Adventure|Animation|Comedy|Family,100169068
Spirit: Stallion of the Cimarron,2002,Adventure|Animation|Family|Western,73215310
Zookeeper,2011,Comedy|Family|Romance,80360866
Lost in Space,1998,Action|Adventure|Family|Sci-Fi|Thriller,69102910
The Manchurian Candidate,2004,Drama|Mystery|Sci-Fi|Thriller,65948711
Hotel Transylvania 2,2015,Animation|Comedy|Family|Fantasy,169692572
Fantasia 2000,1999,Animation|Family|Fantasy|Music,60507228
The Time Machine,2002,Action|Adventure|Sci-Fi,56684819
Mighty Joe Young,1998,Action|Adventure|Family|Fantasy|Thriller,50628009
Swordfish,2001,Action|Crime|Thriller,69772969
The Legend of Zorro,2005,Action|Adventure|Western,45356386
What Dreams May Come,1998,Drama|Fantasy|Romance,55350897
Little Nicky,2000,Comedy|Fantasy,39442871
The Brothers Grimm,2005,Action|Adventure|Comedy|Fantasy|Thriller,37899638
Mars Attacks!,1996,Action|Comedy|Sci-Fi,37754208
Surrogates,2009,Action|Sci-Fi|Thriller,38542418
Thirteen Days,2000,Drama|History|Thriller,34566746
Daylight,1996,Action|Adventure|Drama|Thriller,32885565
Walking with Dinosaurs 3D,2013,Adventure|Animation|Family,36073232
Battlefield Earth,2000,Action|Adventure|Sci-Fi,21471685
Looney Tunes: Back in Action,2003,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,20950820
Nine,2009,Drama|Musical|Romance,19673424
Timeline,2003,Action|Adventure|Sci-Fi,19480739
The Postman,1997,Action|Adventure|Drama|Sci-Fi,17593391
Babe: Pig in the City,1998,Adventure|Comedy|Drama|Family|Fantasy,18318000
The Last Witch Hunter,2015,Action|Adventure|Fantasy,27356090
Red Planet,2000,Action|Sci-Fi|Thriller,17473245
Arthur and the Invisibles,2006,Adventure|Animation|Family|Fantasy,15131330
Oceans,2009,Documentary|Drama,19406406
A Sound of Thunder,2005,Action|Adventure|Horror|Sci-Fi|Thriller,1891821
Pompeii,2014,Action|Adventure|Drama|History|Romance,23219748
A Beautiful Mind,2001,Biography|Drama,170708996
The Lion King,1994,Adventure|Animation|Drama|Family|Musical,422783777
Journey 2: The Mysterious Island,2012,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,103812241
Cloudy with a Chance of Meatballs 2,2013,Animation|Comedy|Family|Fantasy|Sci-Fi,119793567
Red Dragon,2002,Crime|Drama|Thriller,92930005
Hidalgo,2004,Action|Adventure|Western,67286731
Jack and Jill,2011,Comedy,74158157
2 Fast 2 Furious,2003,Action|Crime|Thriller,127083765
The Little Prince,2015,Adventure|Animation|Drama|Family|Fantasy,1339152
The Invasion,2007,Sci-Fi|Thriller,15071514
The Adventures of Rocky & Bullwinkle,2000,Adventure|Animation|Comedy|Family|Fantasy,26000610
The Secret Life of Pets,2016,Animation|Comedy|Family,323505540
The League of Extraordinary Gentlemen,2003,Action|Adventure|Fantasy|Sci-Fi,66462600
Despicable Me 2,2013,Animation|Comedy|Family|Sci-Fi,368049635
Independence Day,1996,Action|Adventure|Sci-Fi,306124059
The Lost World: Jurassic Park,1997,Action|Adventure|Sci-Fi,229074524
